# GT Everyday — active Shopify products, snapshot 2026-08-05
# price_ils = the number stored in Shopify. Tom confirmed 2026-08-05: this is EX-VAT (מחיר ללא מע"מ).
# NOTE: Shopify is currently configured taxesIncluded=true at 17% — WRONG on both counts. See docs/pricing/SESSION_HANDOFF_MASTER_PROMPT.md §Shopify.
# 2026-08-30: added the four 0.3 l extract SKUs (GT-HIB/LUI/CHA/SEN-LOW-0.3L), Tom approved in session.
#   Prices read live from Shopify that morning: 13.50 ex-VAT each. They were selling since 08/2026 and had been
#   falling into the visible historical bucket; this maps them without changing any other row.
# 2026-08-31: four rows that were live in Shopify but missing from this snapshot.
#   AMERICAN (created 04/23) and HOJICHA 0.5KG (07/27) predate the snapshot and were simply not captured;
#   HOJICHA 1KG (08/18) postdates it and was added on Tom's word. AMERICAN's two prices were swapped in
#   Shopify (1L=33, 0.5L=65) and were corrected there the same day. Nothing else in this file changed.
sku	title	type	price_ils_exvat
GT-JAS-LOW-0.5L	CONSCIOUSNESS 500ml	Tea 0.5 l	33.00
GT-SEN-LOW-1L	REVIVE 1000ml	Tea 1 l	65.00
GT-SEN-LOW-0.5L	REVIVE 500ml	Tea 0.5 l	33.00
GT-SEN-LOW-0.3L	REVIVE 300ml	Tea 0.3 l	13.50
GT-INF-DES-1L	Desert Infusion 1000ml	Tea 1 l	65.00
GT-INF-DES-0.5L	DESERT Infusion 500ml	Tea 0.5 l	33.00
GT-MAS-CHA-1L	NAMASTEA 1000ml	Tea 1 l	65.00
GT-MAS-CHA-0.5L	NAMASTEA 500ml	Tea 0.5 l	33.00
GT-ELT-STR-0.5L	Elita Strawberry Detox 500ml	Tea 0.5 l	24.00
GT-SHI-CER-500	Shizuoka Ceremonial Matcha Bag 500g	Matcha	590.00
GT-SHI-CER-18*22	Shizuoka Ceremonial Matcha 22x18g bags	Matcha	590.00
GT-SHI-CER-50	Shizuoka Ceremonial Matcha Bag 50g	Matcha	65.00
GT-SHI-CER-30	GT Elita Matcha can 30g	Matcha	38.00
GT-MAT-KIT	Complete Matcha Kit	Matcha	170.00
UBE-POWDER-1-KG	Ube Powder 1 KG	Powder	340.00
UBE-POWDER-0.5-KG	Ube Powder 500g	Powder	175.00
AP-WHK-MAT	Bamboo Matcha Whisk	Accessories	37.00
AP-SCO-MAT	Bamboo Matcha Scoop	Accessories	11.00
AP-STA-MAT	Matcha Whisk Stand	Accessories	25.00
AP-BWL-MAT	Ceramic Matcha Bowl	Accessories	118.00
AP-FRO-MAT	Matcha Frother	Accessories	100.00
AP-CUP-MAT-600	Matcha 600ml glass pot	Accessories	30.00
AP-JUG-NEA	Neapolitan Glass Jug with Infuser	Accessories	36.00
GTCFR-GTCOC-FRO	Cocktail frother	Accessories	75.00
GT-GLA-CUP	Measuring Cup	Accessories	20.00
GT-MAT-BTL-RU	Matcha bottle 500ml	Accessories	10.00
GT-GLA-MAT-PRINT	Matcha GT Printed Cup with Lid	Packaging	0.44
GTCC-NM-SAN-3.85L	GT Sangria Cocktail 3850ml	Cocktail	174.00
GTCC-NON-SAN-3.85L	GT Nonomimi Sangria Cocktail 3850ml	Cocktail	123.00
GTCC-NON-SAN-1L	GT Nonomimi Sangria Cocktail 1000ml	Cocktail	38.00
GTCC-PIN-SAN-1L	GT Pink Sangria Cocktail 1000ml	Cocktail	45.00
GTCC-WHI-SAN-1L	GT White Sangria Cocktail 1000ml	Cocktail	45.00
GTCC-SAN-RED-3.85L	Red Sangria 3.85L	Cocktail	188.65
GTCC-SAN-WHI-3.85L	White Sangria 3.85L	Cocktail	188.65
GTEL-SAN-RED-0.75L	GT Elita Red Sangria Cocktail 750ml	Cocktail	33.00
GTEL-SAN-WHI-0.75L	GT Elita White Sangria Cocktail 750ml	Cocktail	33.00
GTEL-SAN-RED-0.3	GT Elita Red Sangria Cocktail 300ml	Cocktail	16.00
GTEL-SAN-WHI-0.3	GT Elita White Sangria Cocktail 300ml	Cocktail	16.00
GTEL-BAB-RED-0.75L	GT Babka Bakery Red Sangria Cocktail 750ml	Cocktail	45.00
GTEL-BAB-WHI-0.75L	GT Babka Bakery White Sangria Cocktail 750ml	Cocktail	45.00
GTEL-COS-LYC-0.3L	GT Elita Cosmo Lychee Cocktail 300ml	Cocktail	25.00
GTEL-MAR-CLA-0.3L	Margarita Classic Elita 0.3L	Cocktail	25.00
GTEL-MAR-PEA-0.3L	Margarita Pear Elita 0.3L	Cocktail	25.00
GTEL-MAR-STR-0.3L	Margarita Strawberry Elita 0.3L	Cocktail	25.00
GTCC-MUZ-ANBL-1L	Muza Anise Bliss Cocktail 1000ml	Cocktail	88.00
GTCC-MUZ-APPZ-1L	Muza Apple Zest Cocktail 1000ml	Cocktail	89.00
GTCC-MUZ-BZSM-1L	Muza Basil Smash Cocktail 1000ml	Cocktail	88.00
GTCC-MUZ-CHRBL-1L	Muza Cherry Bloom Cocktail 1000ml	Cocktail	88.00
GTCC-MUZ-JASM-1L	Muza Jasmin Cocktail 1000ml	Cocktail	88.00
GTCC-MUZ-JASJ-1L	Muza Jasmin Jazz Cocktail 1000ml	Cocktail	88.00
GTCC-JAS-JAZ-1L	קוקטייל גאסמין גאז (וויסקי) 1 ל | JASMINE JAZZ	Cocktail	88.00
GTCC-MUZ-PSSP-1L	Muza Passion Spritz Cocktail 1000ml	Cocktail	87.00
GTCC-MUZ-PNMM-1L	Muza Pink Mama Cocktail 1000ml	Cocktail	92.00
GTCC-MUZ-RSSP-1L	Muza Russian Sputnik Cocktail 1000ml	Cocktail	85.00
GTCC-MUZ-SMAR-1L	Muza Spicy Margarita Cocktail 1000ml	Cocktail	89.00
GTCC-MUZ-TROJ-1L	Muza Tropical in Japan Cocktail 1000ml	Cocktail	88.00
GTCC-TRO-JAP-1L	קוקטייל טרופיקל אין גאפן (גין) 1 ל | TROPICAL IN JAPAN	Cocktail	88.00
GTCC-MUZ-TRIL-1L	Muza Tropical Israeli Cocktail 1000ml	Cocktail	90.00
GTCC-MUZ-HER-0.2L	Muza Herbal Mule Bliss Cocktail 200ml	Cocktail	24.00
GTCC-MUZ-JAS-0.2L	Muza Jasmine Cocktail 200ml	Cocktail	24.00
GTCC-MUZ-NEG-0.2L	Muza Negroni Cocktail 200ml	Cocktail	25.00
GTCC-MUZ-PSC-0.2L	Muza Passion Spritz Cocktail 200ml	Cocktail	24.00
GTCC-MUZ-QUE-0.2L	Muza Queen Violet Cocktail 200ml	Cocktail	24.00
GTMX-MUZ-BZSM-1L	Muza Basil Smash Mixer 1000ml	Mixer	71.00
GTMX-MUZ-MRCL-1L	Muza Classic Margarita Mixer 1000ml	Mixer	73.00
GTMX-MUZ-HER-1L	Muza Herbal Mule Bliss Mixer 1000ml	Mixer	68.00
GTMX-MUZ-JASM-1L	Muza Jasmin Mixer 1000ml	Mixer	81.00
GTMX-MUZ-PNMM-1L	Muza Pink Mama Mixer 1000ml	Mixer	78.00
GTMX-MUZ-PRPL-1L	Muza Purple Kiss Mixer 1000ml	Mixer	78.00
GTMX-MUZ-TRIL-1L	Muza Tropical Israeli Mixer 1000ml	Mixer	75.00
GT-ODK-MAN-1	ODK Mango Smoothie 1000ml	Smoothie	60.00
GT-ODK-PEA-1	ODK Peach Smoothie 1000ml	Smoothie	60.00
GT-ODK-STR-1	ODK Strawberry Smoothie 1000ml	Smoothie	60.00
AP-TAP-BER-3.3	Bubbles Blueberry Tapioca Pearls 3400g	Tapioca	167.00
AP-TAP-BER-0.6	Bubbles Blueberry Tapioca Pearls 600g	Tapioca	55.00
AP-TAP-LYC-3.4	Bubbles Lychee Tapioca Pearls 3400g	Tapioca	167.00
AP-TAP-LYC-0.6	Bubbles Lychee Tapioca Pearls 600g	Tapioca	55.00
AP-TAP-MAN-3.4	Bubbles Mango Tapioca Pearls 3400g	Tapioca	167.00
AP-TAP-MAN-0.6	Bubbles Mango Tapioca Pearls 600g	Tapioca	55.00
AP-TAP-PIN-3.4	Bubbles Pineapple Tapioca Pearls 3400g	Tapioca	167.00
AP-TAP-PIN-0.6	Bubbles Pineapple Tapioca Pearls 600g	Tapioca	55.00
AP-TAP-SCR	Salted Caramel Tapioca Pearls 1300g	Tapioca	61.00
AP-TAP-SCR-0.6	Salted Caramel Tapioca Pearls 600g	Tapioca	55.00
AP-TAP-STR	Strawberry Tapioca Pearls 1300g	Tapioca	61.00
AP-TAP-STR-0.6	Strawberry Tapioca Pearls 600g	Tapioca	55.00
AP-PLA-STR-11	Plastic Straws for Bubbles 11mm (100 pcs)	Tapioca	17.00
AP-DRI-APP	Dried Apple 300g	Garnish	30.00
AP-DRI-COC-CHI	Dried Coconut Chips	Garnish	99.00
AP-DRI-MAN	Dried Mango 1000g	Garnish	70.00
AP-DRI-ORA	Dried Orange approx. 30 pcs, 100g	Garnish	17.00
AP-DRI-PIN	Dried Pineapple 1000g	Garnish	80.00
AP-DRI-ROS	Dried Purple Roses 200g	Garnish	45.00
AP-STI-CIN	Cinnamon Sticks 1000g	Garnish	60.00
AP-GAR-ANISE	Star Anise Garnish	Garnish	0.00
MM-DRI-CAN-0.2L	Beverage Can 200ml (100 Pack)	Packaging	165.00
MM-DRI-CAN-0.33L	Beverage Can 330ml (100 Pack)	Packaging	165.00
MM-DRI-CAN-0.5L	Beverage Can 500ml (100 Pack)	Packaging	165.00
PCKBX-CAR-BOX-1L	Cardboard Box for 1000ml	Packaging	2.50
PCKBX-CAR-BOX-0.2L	Cardboard Box for 200ml	Packaging	2.50
MM-CAN-CLO-MACHI	Can Sealing Machine	Equipment	5000.00
GTMN-PIK-254	Pikadon 254	Other	0.25
GT-AME-LOW-1L	AMERICAN 1000ml	Tea 1 l	65.00
GT-AME-LOW-0.5L	AMERICAN 500ml	Tea 0.5 l	33.00
GT-HOJ-BLK-500	Hojicha Black Matcha 0.5KG	Powder	375.00
GT-HOJ-BLK-1000	Hojicha Black Matcha 1KG	Powder	750.00
